policy,kshape,ls,amp,weeks,gain
observable_EI,iso,0.4,0.5,1,0.0
P_beat,iso,0.4,0.5,1,0.0
LCB,iso,0.4,0.5,1,0.0
latent_EI,iso,0.4,0.5,1,0.0
thompson,iso,0.4,0.5,1,0.0
exploit,iso,0.4,0.5,1,0.0
maximin,iso,0.4,0.5,1,0.0
random,iso,0.4,0.5,1,0.0
observable_EI,iso,0.4,1.0,1,0.0
P_beat,iso,0.4,1.0,1,0.0
LCB,iso,0.4,1.0,1,0.0
latent_EI,iso,0.4,1.0,1,0.0
thompson,iso,0.4,1.0,1,0.0
exploit,iso,0.4,1.0,1,0.0
maximin,iso,0.4,1.0,1,0.0
random,iso,0.4,1.0,1,0.0
observable_EI,iso,0.4,1.0,1,0.00015162412761826288
P_beat,iso,0.4,1.0,1,0.0003255112627208404
LCB,iso,0.4,1.0,1,0.00021585606482826358
latent_EI,iso,0.4,1.0,1,0.00018112285289950474
thompson,iso,0.4,1.0,1,0.0
exploit,iso,0.4,1.0,1,0.0002943489627600188
maximin,iso,0.4,1.0,1,0.0
random,iso,0.4,1.0,1,0.0
observable_EI,iso,0.4,1.0,1,0.0
P_beat,iso,0.4,1.0,1,0.0
LCB,iso,0.4,1.0,1,0.0
latent_EI,iso,0.4,1.0,1,0.0
thompson,iso,0.4,1.0,1,0.0
exploit,iso,0.4,1.0,1,0.0
maximin,iso,0.4,1.0,1,0.0
random,iso,0.4,1.0,1,0.0
observable_EI,iso,0.4,2.0,1,0.0
P_beat,iso,0.4,2.0,1,0.0
LCB,iso,0.4,2.0,1,0.0
latent_EI,iso,0.4,2.0,1,0.0
thompson,iso,0.4,2.0,1,0.0
exploit,iso,0.4,2.0,1,0.0
maximin,iso,0.4,2.0,1,0.0
random,iso,0.4,2.0,1,0.0
observable_EI,iso,0.4,2.0,1,0.0
P_beat,iso,0.4,2.0,1,0.0
LCB,iso,0.4,2.0,1,0.0
latent_EI,iso,0.4,2.0,1,0.0
thompson,iso,0.4,2.0,1,0.0
